member_id,member,state_district,ticker,instrument,direction,opened_at,closed_or_marked_at,status,holding_days,holding_return_pct,spy_return_pct,excess_return_pct,return_90d_pct,excess_90d_pct,filing_id,source_url
john-rutherford,John Rutherford,FL04,AZSEY,Stock,Long,2017-07-11,2026-09-15,No price match,,,,,,,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,AZN,Stock,Long,2017-07-11,2020-01-15,Closed,918,66.8,42.1,24.7,5.3,-0.1,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,BAESY,Stock,Long,2017-07-11,2020-04-29,Closed,1023,-13.7,27.7,-41.4,0.8,-4.6,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,BCE,Stock,Long,2017-07-11,2017-08-14,Closed,34,3.9,1.8,2.1,5.3,-0.1,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,BNPQY,Stock,Long,2017-07-11,2022-03-16,Closed,1709,-5.2,94.7,-99.9,6.1,0.7,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,BTI,Stock,Long,2017-07-11,2022-03-16,Closed,1709,-16.7,94.7,-111.4,-3.9,-9.2,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,HMC,Stock,Long,2017-07-11,2019-11-19,Closed,861,11,34.4,-23.4,10.6,5.2,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,HSBC,Stock,Long,2017-07-11,2026-09-14,Open · latest mark,3352,259.8,261.5,-1.6,4.6,-0.8,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,IMBBY,Stock,Long,2017-07-11,2020-04-15,Closed,1009,-43.9,21,-64.9,-4.9,-10.3,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,JAPAY,Stock,Long,2017-07-11,2018-04-30,Closed,293,-21.7,10.8,-32.5,-3.9,-9.3,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,MFC,Stock,Long,2017-07-11,2022-02-17,Closed,1682,34.9,95.4,-60.5,6,0.6,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,NVS,Stock,Long,2017-07-11,2022-03-16,Closed,1709,38.5,94.7,-56.3,4.2,-1.2,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,PBSFY,Stock,Long,2017-07-11,2026-09-15,No price match,,,,,,,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,RHHBY,Stock,Long,2017-07-11,2020-04-14,Closed,1008,45.7,23.6,22.1,1.7,-3.7,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,RHHBY,Stock,Long,2020-04-29,2022-03-16,Closed,686,13.2,52.5,-39.3,1.6,-8.4,20016514,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016514.pdf
john-rutherford,John Rutherford,FL04,RDS-B,Stock,Long,2017-07-11,2026-09-15,No price match,,,,,,,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
john-rutherford,John Rutherford,FL04,SNY,Stock,Long,2017-07-11,2018-12-03,Closed,510,-2.1,18,-20.1,5.5,0.1,20009815,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2018/20009815.pdf
